id;title;price
1;"Ноутбук Acer Aspire 5 A515-54G-502N (NX.HVGEU.006) Pure Silver";10
2;"Ноут Asus ROG Strix G15 G512LI-HN057 (90NR0381-M01640) Black";
3;"Ноутбук HP Pavilion Gaming 15-bc504ur (7DT87EA) Black Суперцена!!!";7.999
4;"Ноутбук HP Pavilion Notebook 15-cw1011ua (8RW14EA) Mineral Silver";25
5;"Ноутбук Acer Aspire 7 A715-41G-R7MZ (NH.Q8LEU.004) Charcoal Black";35
6;"Ноутбук Dell Inspiron 3582 (I3582C54H5NIL-BK) Black";5
7;"Ноутбук Apple MacBook Air 13"" 256GB 2020 Space Gray (MWTJ2)";11
8;"Ноутбук Asus ROG Strix G15 G512LI-HN094 (90NR0381-M01620) Black";16
9;"Ноут HP Pavilion Notebook 15-cw1002ua (7KE54EA) Mineral Silver Суперцена!!!";15
10;"Ноутбук HP Pavilion Notebook 15-cw1005ua (7ZF75EA) Mineral Silver Суперцена!!!";
11;"Ноутбук Lenovo IdeaPad L340-15IRH Gaming (81LK01HCRA) Granite Black";10